p=0.6572_k=1.964343,p=0.6572_k=1.2345,p=0.6572_k=2.7852,p=0.6572_k=3.321,p=0.6572_k=3.4729,p=0.6572_k=3.8342,p=0.5_k=1.964343,p=0.5_k=1.2345,p=0.5_k=2.7852,p=0.5_k=3.321,p=0.5_k=3.4729,p=0.5_k=3.8342,p=0.892_k=1.964343,p=0.892_k=1.2345,p=0.892_k=2.7852,p=0.892_k=3.321,p=0.892_k=3.4729,p=0.892_k=3.8342,p=0.121_k=1.964343,p=0.121_k=1.2345,p=0.121_k=2.7852,p=0.121_k=3.321,p=0.121_k=3.4729,p=0.121_k=3.8342,p=0.9932_k=1.964343,p=0.9932_k=1.2345,p=0.9932_k=2.7852,p=0.9932_k=3.321,p=0.9932_k=3.4729,p=0.9932_k=3.8342,p=0.893_k=1.964343,p=0.893_k=1.2345,p=0.893_k=2.7852,p=0.893_k=3.321,p=0.893_k=3.4729,p=0.893_k=3.8342,p=0.891_k=1.964343,p=0.891_k=1.2345,p=0.891_k=2.7852,p=0.891_k=3.321,p=0.891_k=3.4729,p=0.891_k=3.8342
0.6572,0.6572,0.6572,0.6572,0.6572,0.6572,0.5,0.5,0.5,0.5,0.5,0.5,0.892,0.892,0.892,0.892,0.892,0.892,0.121,0.121,0.121,0.121,0.121,0.121,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.893,0.893,0.893,0.893,0.893,0.893,0.891,0.891,0.891,0.891,0.891,0.891
0.44254322007888,0.27811823352,0.6274725832320001,0.7481819793600001,0.7824032508640001,0.863799863072,0.49108575,0.308625,0.6963,0.83025,0.868225,0.95855,0.18923694724799997,0.11892679199999998,0.2683150272,0.319931856,0.33456529439999994,0.36937149119999996,0.208925557137,0.1313001855,0.2962310868,0.353218239,0.3693741711,0.4078016778,0.013266701179680054,0.008337516720000033,0.01881057235200008,0.022429236960000095,0.0234551331040001,0.025895266592000105,0.18769493799299997,0.11795770949999997,0.2661286452,0.31732487099999995,0.33183906789999995,0.36636164419999995,0.19077502781699995,0.11989340549999997,0.27049583879999994,0.32253219899999996,0.3372845751,0.3723736698
0.48460090067873784,0.24784869066323584,0.6510425625078927,0.6256953467066833,0.5912556819093271,0.45109232494872226,0.49092965573648367,0.2634121897734375,0.588975966612,0.4680449274374999,0.3973357023444375,0.15234004139449997,0.30138192761641214,0.12935487292349476,0.5467962387742529,0.7225681143379488,0.7731764438338842,0.8931239500069689,0.32465810290472474,0.14080762155937318,0.5806535662330178,0.7586994357119307,0.8089665350891222,0.9259572655102348,0.025714616698142734,0.010206849129388063,0.051405697541559804,0.0728167982470717,0.07954673919822759,0.09671655148868795,0.29949463243584273,0.1284419331687145,0.5439612283280557,0.7194275566500916,0.7700179896886037,0.8900742164776562,0.30325510847140885,0.13026317688134267,0.5495974999453964,0.7256557014789132,0.7762754247361042,0.8960967093693032
0.4906199409051793,0.23013514088309814,0.6327588491351346,0.7777804576698882,0.8393040797633511,0.9493787443648797,0.4909241412521019,0.23952535384044094,0.6742503441182799,0.8268588383539217,0.8316207798162706,0.4951200354120424,0.41359411058307477,0.13903209327654775,0.6902007240442913,0.6657390659082453,0.6090585543824758,0.3659880394871267,0.4306924548977899,0.14935084114101932,0.6781822802775518,0.6079907531168934,0.5367008553492927,0.2628743161965639,0.04921342217340596,0.012471745325213777,0.1358151303984443,0.22421569481732842,0.2542824577805093,0.3349651447332943,0.412114442219087,0.13819561236967218,0.6909173514569105,0.6703489888575178,0.6150168516257113,0.37514620144236754,0.4150488761656858,0.13986228447238647,0.6894486530952783,0.661143034079388,0.6031451056935837,0.356992380913354
0.49091291628203637,0.21872001642115424,0.6472110950316314,0.5739950555752054,0.4683995438023531,0.18426683667823376,0.49092394468628303,0.22486782752509082,0.611732464308946,0.47544531860234057,0.48630205483669137,0.9584586921526973,0.4764200089159137,0.14777232925471814,0.5955417262727958,0.7390239965078149,0.8269191321265124,0.8896908140399159,0.4816499580601194,0.15683725914479357,0.6078728940763302,0.7915204888381786,0.8635471676786354,0.7429583405316226,0.0919144793689354,0.015204350003342752,0.3268971992740853,0.5776647595065197,0.6585413327556687,0.8541197984608813,0.47591341754482386,0.14702596879538699,0.5947810333947923,0.73387863824613,0.8222824359912608,0.8987806844370866,0.47690968875658946,0.14851136951744406,0.5963369656770401,0.7440133358472959,0.8312771196377616,0.8801360890302458
0.4909235441990073,0.2109532991993681,0.6359416341750525,0.8120666341431524,0.8647570008456965,0.5763284542791535,0.49092393767741727,0.21517617412767287,0.6615291632994524,0.8282476615708667,0.8675733669173763,0.15266107930419126,0.4899935439027308,0.15546758209829065,0.6708760775918756,0.640513064119288,0.49705492649732236,0.3762924884963387,0.4904243084906748,0.16324945694495255,0.6638898495329619,0.5480174870352515,0.4092238123736936,0.7322219466822578,0.16395626112919306,0.018484387925361317,0.6128426528447275,0.8102183428193684,0.7809324284267988,0.4777381312416548,0.48994610997955246,0.15481782195288105,0.6712793109596353,0.6485938989220633,0.5075088778280493,0.34881237936319753,0.49003843602767594,0.15610961429092837,0.670451085325741,0.632509330695129,0.48709322177865644,0.40449488664433264
0.49092392339693874,0.20548499987161525,0.6448291477668378,0.5068324750530067,0.4061637480171311,0.9362118245296532,0.4909239374275022,0.20847666675197338,0.6236294790554048,0.472423782747889,0.39900085564539856,0.49597552590211824,0.4908890619783343,0.1620866563667729,0.614975964880702,0.7646804377340173,0.8681948779479336,0.8998731347154086,0.4909056317924836,0.16863155407800526,0.6214898544813198,0.8225928398378194,0.8396072057302209,0.7517829719083753,0.26926154192080065,0.022397182072892607,0.6608347552287555,0.5106521694440823,0.5941332113989378,0.9566498057522865,0.49088719282559534,0.1615334163569498,0.6145916950991087,0.7569218324876268,0.868029186624145,0.8709090195666163,0.4908908228288589,0.162632292530521,0.6153799899044086,0.7719374818426588,0.8676464672172496,0.9235773926747443
0.49092393691830283,0.20154559919638154,0.6378790874142026,0.8300949667023229,0.8376452744115722,0.22897552588354736,0.49092393741859097,0.20370996344928463,0.6537303122155242,0.8277245529958959,0.8327985473547801,0.9584878997946965,0.4909226914754768,0.16766308937424923,0.6594811251923082,0.5975949069905653,0.39741273987195824,0.34546707978866037,0.49092328403631974,0.1730706695368203,0.6551910475368817,0.48464634801511713,0.46768483612477346,0.715482175675497,0.3865036650228301,0.02703005438633254,0.6242529519430622,0.829873170401253,0.8374514195573624,0.159007935302115,0.49092262456413344,0.16720113893401908,0.6597268241575444,0.6110346821827747,0.3978363848425119,0.43106568324848094,0.4909227544972957,0.16811795048165482,0.6592219078256851,0.5846620698232935,0.3988142053629989,0.2706262421570773
0.4909239374004344,0.1986618762562566,0.6433515578233581,0.46838491633282847,0.47229935771547915,0.6769116549511238,0.4909239374182732,0.20025097848023768,0.6304773436287583,0.4735633662646493,0.48358440113651,0.15255839234339488,0.49092389298863026,0.17227716353821082,0.6254605845742375,0.7986182525440793,0.8316756935629649,0.8669876804883586,0.4909239141197829,0.17667819930393638,0.6292205156066217,0.8294671252961849,0.8645983553550317,0.7805182476446286,0.4657822266170248,0.03246664700928938,0.6532998651954034,0.46887103930354357,0.47275385881673415,0.512726139773686,0.49092389060243613,0.17189785136134803,0.6252421439483865,0.7893063851498857,0.8319769387383358,0.9403301115523156,0.49092389523609986,0.17265013977866203,0.6256906793071657,0.806446180992276,0.8326674874853596,0.756823839638547
0.4909239374176258,0.19652664127798214,0.6390650615380558,0.8269306156157478,0.8655601549828862,0.8385482296102391,0.49092393741826185,0.19770582199891318,0.6488838160293984,0.8279289677015833,0.8672891510869474,0.49570197528317556,0.4909239358340302,0.17603691306864694,0.652459954113783,0.5341069294410156,0.4861755575988246,0.442160106454189,0.4909239365875065,0.1795740897888015,0.6497928929062786,0.4697601437322548,0.40656559358913885,0.6568349337415227,0.4887857871823598,0.03877881006203989,0.6308454362872994,0.8270319105035882,0.8656468850120496,0.9579290335440833,0.4909239357489453,0.17572981588246506,0.6526124818621802,0.5522883293137114,0.4854812479515769,0.21513463410505923,0.49092393591416855,0.1763385341966355,0.6522990013524466,0.5183773414135826,0.48388729320655166,0.7056519783210441
0.49092393741823886,0.19493238991400916,0.6424367627982076,0.4752894733152923,0.4041266933603999,0.5190935359565265,0.49092393741826146,0.195814204869136,0.6345621686906651,0.47311826850415967,0.3997262040141207,0.9584791707602645,0.4909239373617725,0.1790616551486441,0.631560706453149,0.8263867383661947,0.8675612759951667,0.9457228630131549,0.49092393738863926,0.18187547292264364,0.6338059309366763,0.8272131151795413,0.8379066236282418,0.864239429403204,0.4908387170350605,0.04601600472400586,0.6486159048651203,0.47506948011059114,0.40390645034991285,0.15452209511016934,0.49092393735873874,0.17881590247624307,0.631431105494002,0.8211701555809862,0.8674929329581117,0.6474112775287808,0.49092393736462997,0.1793027989814346,0.6316973255137647,0.8291284097042504,0.8673233680628369,0.7963911909104274
0.4909239374182607,0.19373471841974277,0.6397932179146552,0.8282221637614726,0.8363031765830572,0.9571521921032279,0.49092393741826146,0.19439795201912566,0.6458684469835345,0.8278501541116398,0.8333055664408122,0.15258908218940614,0.49092393741624724,0.18146974553362707,0.6480931470974758,0.47646950579902697,0.3990317243634804,0.19681381629700176,0.49092393741720525,0.18368963141804742,0.6464337035711512,0.47467576806219525,0.47168619999707506,0.4498652982804345,0.4909208844489897,0.05419273779504234,0.6347841588693877,0.8281858961402835,0.836156344599468,0.5009191250745122,0.49092393741613904,0.18127493735209557,0.648188077829421,0.4876879571959268,0.39920618840193645,0.8752325090796652,0.4909239374163492,0.18166075534206003,0.647992974413163,0.47050098104275523,0.39963890843965594,0.6217242027713684
